Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Children,Age,Partner,Family_Size,Age_Category,MntTotal,Cluster
Graduated,,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,1,50,Partner,3,Adult,109,2
Graduated,65031.0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,1,64,Partner,3,Elderly,863,0
Post Graduated,60631.0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,2,48,Partner,4,Adult,661,1
Graduated,28332.0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,0,71,Partner,2,Elderly,65,0
Graduated,40246.0,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,1,46,Not Partner,2,Adult,13,0
Post Graduated,75251.0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,0,51,Partner,2,Adult,1890,0
Graduated,75825.0,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,0,47,Not Partner,1,Adult,2209,0
Graduated,26326.0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,0,47,Partner,2,Adult,18,2
Graduated,56046.0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,0,58,Partner,2,Adult,692,3
Graduated,29760.0,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,1,38,Not Partner,2,Adult,165,3
Graduated,26304.0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,1,54,Partner,3,Adult,16,1
Graduated,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,1,50,Partner,3,Adult,79,2
Post Graduated,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,0,60,Partner,2,Adult,318,0
Graduated,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,0,36,Not Partner,1,Adult,778,0
Graduated,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,2,63,Partner,4,Elderly,56,0
Post Graduated,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,2,53,Partner,4,Adult,151,0
Graduated,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,1,66,Not Partner,2,Elderly,372,1
Graduated,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,0,50,Partner,2,Adult,1366,0
Graduated,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,1,56,Partner,3,Adult,194,2
Post Graduated,,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,3,66,Partner,5,Elderly,603,0
Graduated,,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,2,66,Not Partner,3,Elderly,18,3
Post Graduated,,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,0,50,Partner,2,Adult,985,3
Post Graduated,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,1,51,Not Partner,2,Adult,32,2
Post Graduated,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,1,53,Partner,3,Adult,43,1
Graduated,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,1,40,Partner,3,Adult,45,2
Graduated,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,1,63,Not Partner,2,Elderly,606,0
Graduated,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,2,51,Not Partner,3,Adult,63,3
Graduated,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,0,72,Partner,2,Elderly,978,1
Post Graduated,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,0,40,Partner,2,Adult,410,0
Graduated,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,1,63,Not Partner,2,Elderly,72,1
Post Graduated,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,1,64,Not Partner,2,Elderly,55,1
Graduated,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1,44,Partner,3,Adult,1169,2
Post Graduated,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,0,78,Partner,2,Elderly,1120,1
Graduated,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,0,64,Partner,2,Elderly,1097,2
Not Graduated,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,1,44,Partner,3,Adult,29,0
Graduated,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,2,59,Partner,4,Adult,187,3
Graduated,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,2,54,Partner,4,Adult,910,2
Graduated,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,1,45,Not Partner,2,Adult,145,0
Post Graduated,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,0,63,Partner,2,Elderly,850,0
Graduated,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,1,44,Partner,3,Adult,969,0
Post Graduated,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,0,32,Not Partner,1,Adult,1820,1
Post Graduated,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,1,60,Partner,3,Adult,608,0
Graduated,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,0,32,Not Partner,1,Adult,730,0
Post Graduated,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,1,43,Partner,3,Adult,551,0
Graduated,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,2,61,Not Partner,3,Elderly,114,2
Graduated,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,0,53,Partner,2,Adult,1724,1
Graduated,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,1,45,Partner,3,Adult,577,2
Graduated,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,2,56,Partner,4,Adult,81,3
Graduated,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,1,54,Partner,3,Adult,33,3
Post Graduated,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,1,70,Partner,3,Elderly,660,1
Post Graduated,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,1,56,Not Partner,2,Adult,80,3
Post Graduated,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,2,38,Partner,4,Adult,30,2
Graduated,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,1,47,Not Partner,2,Adult,43,3
Graduated,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,0,40,Not Partner,1,Adult,1135,2
Graduated,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,0,58,Partner,2,Adult,559,0
Graduated,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,0,39,Not Partner,1,Adult,1923,3
Post Graduated,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,2,70,Partner,4,Elderly,90,0
Post Graduated,,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,1,62,Partner,3,Elderly,404,0
Post Graduated,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,2,67,Partner,4,Elderly,661,2
Graduated,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,1,71,Partner,3,Elderly,463,1
Post Graduated,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,2,65,Not Partner,3,Elderly,632,2
Graduated,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,0,54,Partner,2,Adult,725,1
Graduated,,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,1,60,Partner,3,Adult,725,0
Post Graduated,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,2,59,Partner,4,Adult,279,3
Post Graduated,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,0,56,Partner,2,Adult,1482,0
Not Graduated,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,1,47,Not Partner,2,Adult,29,0
Post Graduated,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,3,64,Partner,5,Elderly,106,3
Post Graduated,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,2,50,Not Partner,3,Adult,49,0
Post Graduated,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,2,58,Not Partner,3,Adult,38,3
Post Graduated,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,0,31,Not Partner,1,Adult,2077,1
Post Graduated,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1,47,Partner,3,Adult,1053,0
Graduated,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,0,61,Partner,2,Elderly,1385,0
Post Graduated,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,1,49,Not Partner,2,Adult,871,1
Graduated,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,1,35,Partner,3,Adult,312,2
Graduated,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,2,47,Partner,4,Adult,877,3
Graduated,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,1,48,Partner,3,Adult,68,0
Graduated,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,1,42,Partner,3,Adult,22,0
Graduated,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,3,50,Partner,5,Adult,211,2
Post Graduated,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,0,57,Partner,2,Adult,127,3
Post Graduated,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,2,70,Partner,4,Elderly,459,1
Graduated,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,1,54,Partner,3,Adult,460,0
Graduated,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,1,51,Partner,3,Adult,429,2
Graduated,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,1,35,Not Partner,2,Adult,89,1
Post Graduated,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,1,71,Partner,3,Elderly,1021,3
Graduated,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,0,74,Partner,2,Elderly,1381,1
Graduated,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,1,65,Not Partner,2,Elderly,306,1
Graduated,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,3,45,Not Partner,4,Adult,18,2
Graduated,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,1,46,Partner,3,Adult,162,3
Graduated,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,0,68,Not Partner,1,Elderly,1231,0
Post Graduated,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,3,65,Not Partner,4,Elderly,13,0
Post Graduated,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,0,78,Partner,2,Elderly,1706,0
Graduated,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,1,39,Partner,3,Adult,121,3
Post Graduated,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,0,48,Not Partner,1,Adult,1293,0
Post Graduated,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,1,50,Partner,3,Adult,1608,1
Graduated,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,3,57,Partner,5,Adult,88,2
Graduated,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,0,70,Not Partner,1,Elderly,421,3
Graduated,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,0,64,Not Partner,1,Elderly,259,3
Graduated,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,0,35,Not Partner,1,Adult,1117,2
Graduated,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,2,66,Partner,4,Elderly,89,0
Graduated,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,2,58,Partner,4,Adult,36,0
Graduated,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,1,41,Partner,3,Adult,57,1
Graduated,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,2,53,Partner,4,Adult,148,0
Post Graduated,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,2,64,Partner,4,Elderly,93,0
Graduated,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,1,56,Not Partner,2,Adult,119,0
Post Graduated,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,1,48,Partner,3,Adult,1835,0
Post Graduated,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,0,75,Partner,2,Elderly,1318,1
Post Graduated,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,2,53,Partner,4,Adult,45,2
Graduated,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,3,64,Partner,5,Elderly,10,3
Graduated,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,0,72,Partner,2,Elderly,978,0
Post Graduated,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,1,47,Partner,3,Adult,191,2
Graduated,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,1,35,Partner,3,Adult,57,3
Post Graduated,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,0,77,Partner,2,Elderly,1033,0
Post Graduated,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,1,39,Partner,3,Adult,66,3
Not Graduated,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,0,62,Partner,2,Elderly,43,0
Graduated,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,1,40,Partner,3,Adult,50,1
Post Graduated,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,1,53,Not Partner,2,Adult,39,2
Graduated,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,1,57,Partner,3,Adult,608,2
Graduated,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,0,47,Partner,2,Adult,1581,0
