Year_Birth,Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Children,Age,Partner,Family_Size,Age_Category,MntTotal,Cluster
1985.0,Graduated,33812.0,1,0,86.0,4.0,17.0,19.0,30.0,24.0,39.0,2.0,2.0,1.0,3.0,6.0,0,0,0,0,0,0.0,3,11,0,1,38.0,Not Partner,2,Adult,133.0,1
1982.0,Graduated,37040.0,0,0,41.0,86.0,2.0,73.0,69.0,38.0,48.0,1.0,4.0,2.0,5.0,8.0,0,0,0,0,0,0.0,3,11,0,0,41.0,Partner,2,Adult,316.0,3
1979.0,Graduated,7579.200000000001,1,0,42.0,1.0,1.0,915.0,1.0,1.0,1.0,10.0,0.0,10.610000000000127,2.0,1.0,0,0,0,0,0,0.0,3,11,0,1,44.0,Partner,3,Adult,920.0,2
1949.0,Post Graduated,58607.0,0,1,63.0,867.0,0.0,86.0,0.0,0.0,19.0,3.0,2.0,3.0,9.0,8.0,0,1,0,0,0,0.0,3,11,0,1,74.0,Partner,3,Elderly,972.0,2
1954.0,Post Graduated,65324.0,0,1,0.0,384.0,0.0,102.0,21.0,32.0,5.0,3.0,6.0,2.0,9.0,4.0,0,0,0,0,0,0.0,3,11,0,1,69.0,Partner,3,Elderly,544.0,2
1951.0,Graduated,40689.0,0,1,69.0,270.0,3.0,27.0,39.0,6.0,99.0,7.0,7.0,1.0,5.0,8.0,0,0,0,0,0,0.0,3,11,0,1,72.0,Partner,3,Elderly,444.0,3
1969.0,Graduated,18589.0,0,0,89.0,6.0,4.0,25.0,15.0,12.0,13.0,2.0,2.0,1.0,3.0,7.0,0,0,0,0,0,0.0,3,11,0,0,54.0,Not Partner,1,Adult,75.0,2
1976.0,Graduated,53359.0,1,1,4.0,173.0,4.0,30.0,3.0,6.0,41.0,4.0,5.0,1.0,4.0,7.0,0,0,0,0,0,0.0,3,11,0,2,47.0,Partner,4,Adult,257.0,1
1989.0,Graduated,38360.0,1,0,26.0,36.0,2.0,42.0,20.0,21.0,10.0,2.0,2.0,1.0,4.0,3.0,0,0,0,0,0,0.0,3,11,0,1,34.0,Partner,3,Adult,131.0,3
1965.0,Post Graduated,84618.0,0,0,96.0,684.0,100.0,801.0,21.0,66.0,0.0,1.0,6.0,9.0,10.0,2.0,0,0,1,0,0,0.0,3,11,0,0,58.0,Partner,2,Adult,1672.0,1
1989.0,Post Graduated,10979.0,0,0,34.0,8.0,4.0,10.0,2.0,2.0,4.0,2.0,3.0,0.0,3.0,5.0,0,0,0,0,0,0.0,3,11,0,0,34.0,Not Partner,1,Adult,30.0,1
1963.0,Post Graduated,38620.0,0,0,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,0,0,0,0,0,0.0,3,11,0,0,60.0,Partner,2,Adult,318.0,0
1970.0,Graduated,40548.0,0,1,31.0,110.0,0.0,5.0,2.0,0.0,3.0,2.0,2.0,1.0,4.0,5.0,0,1,0,0,0,0.0,3,11,0,1,53.0,Partner,3,Adult,120.0,2
1952.0,Post Graduated,46610.0,0,2,8.0,96.0,12.0,96.0,33.0,22.0,43.0,6.0,4.0,1.0,6.0,6.0,0,0,0,0,0,0.0,3,11,1,2,71.0,Not Partner,3,Elderly,302.0,4
1946.0,Post Graduated,68657.0,0,0,4.0,482.0,34.0,471.0,119.0,68.0,22.0,1.0,3.0,5.0,9.0,7.0,0,0,0,0,0,0.0,3,11,0,0,77.0,Partner,2,Elderly,1196.0,2
1951.0,Post Graduated,49389.0,1,1,55.0,40.0,0.0,19.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,7.0,0,0,0,0,0,0.0,3,11,0,2,72.0,Not Partner,3,Elderly,65.0,3
1970.0,Post Graduated,67353.0,0,1,37.0,702.0,17.0,151.0,0.0,8.0,35.0,5.0,5.0,6.0,12.0,2.0,0,0,0,0,0,0.0,3,11,0,1,53.0,Partner,3,Adult,913.0,4
1976.0,Graduated,23718.0,1,0,76.0,6.0,3.0,14.0,15.0,7.0,36.0,3.0,3.0,1.0,2.0,7.0,0,0,0,0,0,0.0,3,11,0,1,47.0,Partner,3,Adult,81.0,0
1973.0,Graduated,42429.0,0,1,98.0,55.0,0.0,6.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,5.0,0,0,0,0,0,0.0,3,11,0,1,50.0,Not Partner,2,Adult,67.0,2
1945.0,Post Graduated,48948.0,0,0,53.0,437.0,8.0,206.0,160.0,49.0,42.0,2.0,7.0,10.0,5.0,6.0,1,0,0,0,0,0.0,3,11,1,0,78.0,Not Partner,1,Elderly,902.0,3
1980.0,Graduated,80011.0,0,1,3.0,421.0,76.0,536.0,82.0,177.22000000000025,102.0,2.0,8.0,6.0,5.0,4.0,0,0,0,0,0,0.0,3,11,0,1,43.0,Partner,3,Adult,1394.2200000000003,3
1985.0,Post Graduated,20559.0,1,0,88.0,13.0,1.0,29.0,3.0,0.0,7.0,2.0,2.0,0.0,3.0,8.0,0,0,0,0,0,0.0,3,11,0,1,38.0,Partner,3,Adult,53.0,3
1957.0,Graduated,21994.0,0,1,4.0,9.0,0.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,0,0,0,0,0,0.0,3,11,0,1,66.0,Partner,3,Elderly,22.0,0
1975.0,Post Graduated,7579.200000000001,1,0,19.0,3.0,1.0,10.0,3.0,2.0,12.0,3.0,2.0,0.0,3.0,5.0,0,0,0,0,0,0.0,3,11,0,1,48.0,Partner,3,Adult,31.0,1
1976.0,Graduated,79941.0,0,0,72.0,123.0,164.0,266.0,226.22000000000025,30.0,174.0,1.0,2.0,4.0,9.0,1.0,0,0,0,0,0,0.0,3,11,0,0,47.0,Not Partner,1,Adult,983.2200000000003,2
1992.0,Graduated,7579.200000000001,0,0,24.0,3.0,18.0,14.0,15.0,22.0,50.0,3.0,3.0,1.0,3.0,9.0,0,0,0,0,0,0.0,3,11,1,0,31.0,Partner,2,Young,122.0,0
1968.0,Graduated,41728.0,1,0,92.0,13.0,6.0,15.0,3.0,5.0,13.0,1.0,2.0,0.0,2.0,9.0,0,0,0,0,0,0.0,3,11,0,1,55.0,Partner,3,Adult,55.0,2
1954.0,Post Graduated,72550.0,1,1,39.0,826.0,50.0,317.0,50.0,38.0,38.0,9.0,5.0,2.0,12.0,8.0,0,0,0,0,0,0.0,3,11,0,2,69.0,Partner,4,Elderly,1319.0,0
1957.0,Graduated,65486.0,0,1,29.0,245.0,19.0,125.0,37.0,67.0,14.0,1.0,4.0,2.0,10.0,2.0,0,0,0,0,0,0.0,3,11,0,1,66.0,Not Partner,2,Elderly,507.0,2
1964.0,Post Graduated,79143.0,0,0,2.0,650.0,37.0,780.0,27.0,167.0,32.0,1.0,6.0,9.0,13.0,3.0,0,0,0,0,0,0.0,3,11,0,0,59.0,Partner,2,Adult,1693.0,2
1977.0,Graduated,35790.0,1,0,54.0,12.0,6.0,20.0,30.0,1.0,3.0,2.0,2.0,0.0,3.0,7.0,0,0,0,0,0,0.0,3,11,0,1,46.0,Not Partner,2,Adult,72.0,0
1977.0,Graduated,82582.0,0,0,54.0,510.0,120.0,550.0,156.0,40.0,227.0,1.0,4.0,9.0,7.0,1.0,1,0,0,1,0,0.0,3,11,1,0,46.0,Not Partner,1,Adult,1603.0,4
1978.0,Graduated,66373.0,1,1,57.0,328.0,9.0,124.0,12.0,24.0,109.0,7.0,4.0,2.0,10.0,3.0,0,0,0,0,0,0.0,3,11,0,2,45.0,Partner,4,Adult,606.0,2
1955.0,Post Graduated,82384.0,0,0,55.0,984.0,51.0,432.0,180.0,120.0,190.0,1.0,3.0,10.0,13.0,1.0,0,0,1,0,0,0.0,3,11,1,0,68.0,Partner,2,Elderly,1957.0,0
1966.0,Graduated,70287.0,0,0,30.0,295.0,35.0,482.0,121.0,120.0,40.0,1.0,5.0,5.0,10.0,3.0,0,0,0,0,0,0.0,3,11,1,0,57.0,Not Partner,1,Adult,1093.0,2
1988.0,Graduated,27938.0,1,0,31.0,13.0,0.0,8.0,2.0,1.0,5.0,1.0,1.0,0.0,4.0,3.0,0,0,0,0,0,0.0,3,11,0,1,35.0,Not Partner,2,Adult,29.0,0
1968.0,Post Graduated,55954.0,0,1,63.0,447.0,0.0,28.0,0.0,0.0,43.0,3.0,8.0,2.0,6.0,7.0,0,0,0,0,0,0.0,3,11,0,1,55.0,Partner,3,Adult,518.0,2
1982.0,Post Graduated,75777.0,0,0,12.0,712.0,26.0,538.0,69.0,13.0,80.0,1.0,3.0,6.0,11.0,1.0,0,1,1,0,0,0.0,3,11,1,0,41.0,Not Partner,1,Adult,1438.0,3
1975.0,Graduated,66653.0,1,1,18.0,452.0,18.0,102.0,16.0,18.0,6.0,4.0,4.0,2.0,12.0,3.0,0,0,0,0,0,0.0,3,11,0,2,48.0,Partner,4,Adult,612.0,1
1952.0,Graduated,61823.0,0,1,26.0,523.0,7.0,134.0,37.0,14.0,169.0,4.0,8.0,2.0,10.0,7.0,0,0,0,0,0,0.0,3,11,0,1,71.0,Not Partner,2,Elderly,884.0,0
1951.0,Post Graduated,67680.0,0,1,8.0,546.0,0.0,48.0,0.0,6.0,6.0,1.0,7.0,3.0,8.0,5.0,0,0,0,0,0,0.0,3,11,0,1,72.0,Not Partner,2,Elderly,606.0,2
1948.0,Graduated,70666.0,0,0,29.0,398.0,40.0,367.0,119.0,122.0,30.0,1.0,7.0,4.0,4.0,4.0,0,0,0,0,0,0.0,3,11,0,0,75.0,Partner,2,Elderly,1076.0,2
1971.0,Graduated,25721.0,1,0,75.0,1.0,3.0,6.0,3.0,6.0,15.0,1.0,1.0,1.0,2.0,7.0,0,0,0,0,0,0.0,3,11,1,1,52.0,Partner,3,Adult,34.0,2
1967.0,Graduated,32474.0,1,1,0.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,0,0,0,0,0,0.0,3,11,0,2,56.0,Partner,4,Adult,12.0,2
1979.0,Graduated,88194.0,0,1,19.0,688.0,14.0,309.0,201.0,24.0,38.0,1.0,11.0,10.0,10.0,5.0,1,0,0,1,0,0.0,3,11,1,1,44.0,Not Partner,2,Adult,1274.0,2
1958.0,Graduated,69096.0,0,1,4.0,247.0,49.0,159.0,7.0,82.0,109.0,1.0,5.0,2.0,10.0,4.0,0,0,0,0,0,0.0,3,11,0,1,65.0,Partner,3,Elderly,653.0,1
1970.0,Graduated,74854.0,1,2,90.0,856.0,59.0,487.0,58.0,29.0,73.0,7.0,2.0,5.0,5.0,5.0,0,0,0,0,0,0.0,3,11,0,3,53.0,Partner,5,Adult,1562.0,4
1954.0,Post Graduated,66991.0,0,0,1.0,496.0,36.0,460.0,189.0,60.0,12.0,3.0,4.0,8.0,6.0,3.0,0,0,0,0,0,0.0,3,11,0,0,69.0,Partner,2,Elderly,1253.0,2
1959.0,Graduated,65031.0,0,1,29.0,258.0,107.0,291.0,84.0,37.0,86.0,4.0,10.0,3.0,13.0,7.0,0,0,0,0,0,0.0,3,11,0,1,64.0,Partner,3,Elderly,863.0,3
1975.0,Post Graduated,60631.0,1,1,88.0,565.0,6.0,65.0,0.0,6.0,19.0,5.0,9.0,2.0,8.0,7.0,0,1,0,0,0,0.0,3,11,0,2,48.0,Partner,4,Adult,661.0,2
1952.0,Graduated,28332.0,0,0,58.0,14.0,10.0,13.0,4.0,15.0,9.0,1.0,2.0,1.0,4.0,2.0,0,0,0,0,0,0.0,3,11,0,0,71.0,Partner,2,Elderly,65.0,4
1977.0,Graduated,40246.0,1,0,68.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,0,0,0,0,0,0.0,3,11,0,1,46.0,Not Partner,2,Adult,13.0,3
1972.0,Post Graduated,75251.0,0,0,34.0,721.0,111.0,915.0,97.0,18.0,18.0,1.0,7.0,6.0,5.0,5.0,0,0,0,0,0,0.0,3,11,1,0,51.0,Partner,2,Adult,1880.0,3
1976.0,Graduated,75825.0,0,0,40.0,1032.0,105.0,779.0,137.0,105.0,51.0,0.0,5.0,8.0,9.0,4.0,1,0,0,0,0,0.0,3,11,1,0,47.0,Not Partner,1,Adult,2209.0,1
1976.0,Graduated,26326.0,0,0,12.0,1.0,0.0,5.0,0.0,3.0,9.0,1.0,0.0,0.0,3.0,3.0,0,0,0,0,0,0.0,3,11,0,0,47.0,Partner,2,Adult,18.0,0
1965.0,Graduated,56046.0,0,0,9.0,577.0,0.0,64.0,0.0,0.0,51.0,2.0,10.0,1.0,8.0,8.0,1,0,0,0,0,0.0,3,11,1,0,58.0,Partner,2,Adult,692.0,1
1985.0,Graduated,29760.0,1,0,87.0,64.0,4.0,68.0,7.0,5.0,17.0,4.0,3.0,1.0,4.0,8.0,0,0,0,0,0,0.0,3,11,0,1,38.0,Not Partner,2,Adult,165.0,1
1969.0,Graduated,26304.0,1,0,5.0,4.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,7.0,0,0,0,0,0,0.0,3,11,0,1,54.0,Partner,3,Adult,16.0,0
1973.0,Graduated,23559.0,1,0,87.0,25.0,5.0,19.0,7.0,0.0,23.0,3.0,3.0,0.0,3.0,7.0,0,0,0,0,0,0.0,3,11,0,1,50.0,Partner,3,Adult,79.0,2
1963.0,Post Graduated,38620.0,0,0,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,0,0,0,0,0,0.0,3,11,0,0,60.0,Partner,2,Adult,318.0,1
1987.0,Graduated,81361.0,0,0,18.0,163.0,23.0,424.0,27.0,65.0,76.0,1.0,3.0,10.0,13.0,1.0,0,0,0,0,0,0.0,3,11,0,0,36.0,Not Partner,1,Adult,778.0,4
1960.0,Graduated,29440.0,1,1,95.0,17.0,8.0,14.0,10.0,4.0,3.0,2.0,1.0,0.0,4.0,7.0,0,0,0,0,0,0.0,3,11,0,2,63.0,Partner,4,Elderly,56.0,3
1970.0,Post Graduated,36138.0,1,1,48.0,130.0,0.0,16.0,0.0,0.0,5.0,5.0,3.0,1.0,4.0,7.0,0,1,0,0,0,0.0,3,11,0,2,53.0,Partner,4,Adult,151.0,1
1957.0,Graduated,50388.0,0,1,3.0,292.0,6.0,37.0,0.0,3.0,34.0,4.0,6.0,1.0,6.0,7.0,0,1,0,1,0,0.0,3,11,1,1,66.0,Not Partner,2,Elderly,372.0,0
1973.0,Graduated,79593.0,0,0,70.0,350.0,60.0,568.0,110.0,133.0,145.0,1.0,5.0,6.0,7.0,2.0,0,0,1,0,0,0.0,3,11,0,0,50.0,Partner,2,Adult,1366.0,4
1967.0,Graduated,54178.0,0,1,79.0,135.0,9.0,39.0,4.0,0.0,7.0,1.0,2.0,2.0,5.0,2.0,0,0,0,0,0,0.0,3,11,0,1,56.0,Partner,3,Adult,194.0,2
1972.0,Post Graduated,42394.0,1,0,69.0,15.0,2.0,10.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,7.0,0,0,0,0,0,0.0,3,11,0,1,51.0,Not Partner,2,Adult,32.0,2
1970.0,Post Graduated,23626.0,1,0,84.0,27.0,2.0,14.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,5.0,0,0,0,0,0,0.0,3,11,0,1,53.0,Partner,3,Adult,43.0,2
1983.0,Graduated,30096.0,1,0,30.0,5.0,3.0,11.0,12.0,5.0,9.0,1.0,2.0,0.0,3.0,6.0,0,0,0,0,0,0.0,3,11,0,1,40.0,Partner,3,Adult,45.0,2
1960.0,Graduated,47916.0,0,1,72.0,505.0,0.0,26.0,0.0,0.0,75.0,5.0,7.0,4.0,6.0,6.0,0,1,0,0,0,0.0,3,11,0,1,63.0,Not Partner,2,Elderly,606.0,3
1972.0,Graduated,51813.0,1,1,37.0,51.0,2.0,7.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,7.0,0,0,0,0,0,0.0,3,11,0,2,51.0,Not Partner,3,Adult,63.0,1
1951.0,Graduated,78497.0,0,0,44.0,207.0,26.0,447.0,75.0,0.0,223.0,1.0,5.0,7.0,12.0,2.0,0,0,0,1,0,0.0,3,11,0,0,72.0,Partner,2,Elderly,978.0,2
1983.0,Post Graduated,50150.0,0,0,32.0,135.0,46.0,92.0,65.0,61.0,11.0,2.0,5.0,2.0,7.0,5.0,0,0,0,0,0,0.0,3,11,0,0,40.0,Partner,2,Adult,410.0,4
1960.0,Graduated,47823.0,0,1,0.0,53.0,1.0,5.0,2.0,1.0,10.0,2.0,2.0,0.0,3.0,8.0,0,0,0,0,0,0.0,3,11,0,1,63.0,Not Partner,2,Elderly,72.0,2
1959.0,Post Graduated,34554.0,0,1,43.0,41.0,1.0,6.0,2.0,0.0,5.0,2.0,2.0,0.0,3.0,6.0,0,0,0,0,0,0.0,3,11,0,1,64.0,Not Partner,2,Elderly,55.0,2
1979.0,Graduated,85693.0,0,1,59.0,386.0,172.0,183.0,185.0,132.0,111.0,2.0,9.0,5.0,11.0,5.0,0,0,0,0,0,0.0,3,11,0,1,44.0,Partner,3,Adult,1169.0,0
1945.0,Post Graduated,65846.0,0,0,68.0,562.0,81.0,276.0,80.0,40.0,81.0,1.0,6.0,3.0,6.0,4.0,0,0,0,0,0,0.0,3,11,0,0,78.0,Partner,2,Elderly,1120.0,2
1959.0,Graduated,87195.0,0,0,35.0,217.0,76.0,690.0,50.0,26.0,38.0,1.0,3.0,10.610000000000127,5.0,1.0,0,0,0,0,0,0.0,3,11,1,0,64.0,Partner,2,Elderly,1097.0,0
1979.0,Not Graduated,24594.0,1,0,94.0,1.0,3.0,6.0,10.0,0.0,9.0,1.0,1.0,0.0,3.0,5.0,0,0,0,0,0,0.0,3,11,0,1,44.0,Partner,3,Adult,29.0,2
1964.0,Graduated,49096.0,1,1,15.0,144.0,1.0,32.0,2.0,1.0,7.0,4.0,4.0,1.0,4.0,7.0,0,0,0,0,0,0.0,3,11,0,2,59.0,Partner,4,Adult,187.0,4
1969.0,Graduated,52413.0,0,2,56.0,295.0,106.0,271.0,75.0,98.0,65.0,4.0,6.0,4.0,12.0,6.0,0,0,0,0,0,0.0,3,11,0,2,54.0,Partner,4,Adult,910.0,2
1978.0,Graduated,38557.0,1,0,17.0,76.0,3.0,31.0,4.0,4.0,27.0,2.0,3.0,1.0,3.0,7.0,0,0,0,0,0,0.0,3,11,0,1,45.0,Not Partner,2,Adult,145.0,2
1960.0,Post Graduated,89058.0,0,0,18.0,454.0,172.0,106.0,31.0,22.0,43.0,1.0,5.0,4.0,4.0,2.0,0,0,0,0,0,0.0,3,11,0,0,63.0,Partner,2,Elderly,828.0,1
1979.0,Graduated,77298.0,0,1,46.0,425.0,115.0,292.0,23.0,35.0,79.0,1.0,6.0,6.0,11.0,3.0,0,0,0,0,0,0.0,3,11,0,1,44.0,Partner,3,Adult,969.0,3
1991.0,Post Graduated,68126.0,0,0,40.0,1285.0,17.0,311.0,23.0,51.0,86.0,1.0,7.0,4.0,5.0,9.0,0,1,0,0,0,0.0,3,11,1,0,32.0,Not Partner,1,Adult,1773.0,2
1963.0,Post Graduated,57288.0,0,1,27.0,527.0,0.0,21.0,0.0,0.0,60.0,3.0,8.0,1.0,8.0,6.0,0,1,0,0,0,0.0,3,11,0,1,60.0,Partner,3,Adult,608.0,4
1991.0,Graduated,86037.0,0,0,95.0,490.0,44.0,125.0,29.0,20.0,22.0,1.0,6.0,7.0,11.0,3.0,0,1,1,0,0,0.0,3,11,1,0,32.0,Not Partner,1,Adult,730.0,3
1980.0,Post Graduated,43974.0,1,0,19.0,378.0,0.0,101.0,0.0,0.0,72.0,5.0,6.0,4.0,6.0,7.0,0,0,0,0,0,0.0,3,11,0,1,43.0,Partner,3,Adult,551.0,4
1962.0,Graduated,50785.0,1,1,27.0,64.0,1.0,21.0,0.0,1.0,27.0,2.0,2.0,1.0,3.0,6.0,0,0,0,0,0,0.0,3,11,0,2,61.0,Not Partner,3,Elderly,114.0,0
1970.0,Graduated,90765.0,0,0,25.0,547.0,99.0,812.0,151.0,82.0,33.0,0.0,4.0,6.0,5.0,1.0,0,0,1,1,0,0.0,3,11,0,0,53.0,Partner,2,Adult,1724.0,2
1978.0,Graduated,36550.0,1,0,74.0,47.0,90.0,94.0,123.0,103.0,120.0,5.0,9.0,1.0,5.0,9.0,0,0,0,0,0,0.0,3,11,0,1,45.0,Partner,3,Adult,577.0,0
1967.0,Graduated,30753.0,1,1,85.0,12.0,5.0,25.0,0.0,9.0,30.0,2.0,1.0,1.0,3.0,5.0,0,0,0,0,0,0.0,3,11,0,2,56.0,Partner,4,Adult,81.0,1
1969.0,Graduated,21918.0,1,0,37.0,1.0,6.0,7.0,11.0,5.0,3.0,2.0,2.0,0.0,3.0,6.0,0,0,0,0,0,0.0,3,11,0,1,54.0,Partner,3,Adult,33.0,2
1953.0,Post Graduated,56129.0,0,1,65.0,320.0,48.0,133.0,39.0,72.0,48.0,4.0,6.0,2.0,10.0,4.0,0,0,0,0,0,0.0,3,11,0,1,70.0,Partner,3,Elderly,660.0,2
1967.0,Post Graduated,32557.0,1,0,13.0,34.0,3.0,29.0,0.0,4.0,10.0,3.0,2.0,1.0,3.0,5.0,0,0,0,0,0,0.0,3,11,1,1,56.0,Not Partner,2,Adult,80.0,0
1985.0,Post Graduated,19510.0,2,0,63.0,9.0,0.0,7.0,3.0,4.0,7.0,2.0,1.0,0.0,3.0,7.0,0,0,0,0,0,0.0,3,11,0,2,38.0,Partner,4,Adult,30.0,2
1976.0,Graduated,30992.0,1,0,83.0,17.0,0.0,14.0,7.0,3.0,2.0,1.0,1.0,0.0,3.0,7.0,0,0,0,0,0,0.0,3,11,0,1,47.0,Not Partner,2,Adult,43.0,1
1983.0,Graduated,94458.79999999999,0,0,69.0,722.0,27.0,102.0,44.0,72.0,168.0,0.0,6.0,8.0,13.0,2.0,0,1,1,1,0,0.0,3,11,1,0,40.0,Not Partner,1,Adult,1135.0,2
1965.0,Graduated,71488.0,0,0,87.0,162.0,33.0,124.0,40.0,28.0,172.0,2.0,3.0,4.0,7.0,1.0,0,0,0,0,0,0.0,3,11,0,0,58.0,Partner,2,Adult,559.0,3
1984.0,Graduated,79607.0,0,0,37.0,450.0,133.0,915.0,173.0,0.0,216.0,1.0,3.0,6.0,6.0,1.0,0,0,0,0,0,0.0,3,11,1,0,39.0,Not Partner,1,Adult,1887.0,1
1953.0,Post Graduated,54348.0,1,1,51.0,70.0,0.0,16.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,6.0,0,0,0,0,0,0.0,3,11,0,2,70.0,Partner,4,Elderly,90.0,4
1956.0,Post Graduated,77376.0,1,1,72.0,492.0,19.0,110.0,16.0,12.0,12.0,4.0,6.0,3.0,10.0,4.0,0,0,0,0,0,0.0,3,11,0,2,67.0,Partner,4,Elderly,661.0,0
1952.0,Graduated,62998.0,0,1,10.0,120.0,58.0,73.0,65.0,89.0,58.0,5.0,5.0,4.0,5.0,5.0,0,0,0,0,0,0.0,3,11,0,1,71.0,Partner,3,Elderly,463.0,2
